
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   4.000   0.8950   0.00945   0.00567  -0.0433   0.0269   0.6270
   4.100   0.9025   0.00995   0.00627  -0.0404   0.0266   0.6282
   4.200   0.9087   0.01055   0.00699  -0.0375   0.0262   0.6286
   4.300   0.9151   0.01125   0.00780  -0.0348   0.0259   0.6294
   4.400   0.9217   0.01208   0.00876  -0.0323   0.0254   0.6299
   4.600   0.9325   0.01411   0.01105  -0.0276   0.0245   0.6318
   4.700   0.9351   0.01519   0.01226  -0.0251   0.0241   0.6329
   4.800   0.9355   0.01627   0.01346  -0.0225   0.0238   0.6336
   4.900   0.9339   0.01736   0.01465  -0.0197   0.0235   0.6342
   5.000   0.9306   0.01842   0.01581  -0.0168   0.0233   0.6352
   5.100   0.9253   0.01944   0.01692  -0.0137   0.0232   0.6359
   5.200   0.9194   0.02043   0.01799  -0.0106   0.0230   0.6367
   5.300   0.9125   0.02145   0.01908  -0.0076   0.0229   0.6373
   5.400   0.9053   0.02247   0.02017  -0.0048   0.0228   0.6379
   5.500   0.8973   0.02353   0.02130  -0.0020   0.0227   0.6387
   5.600   0.8891   0.02461   0.02243   0.0006   0.0226   0.6394
   5.700   0.8809   0.02569   0.02357   0.0031   0.0226   0.6399
   5.800   0.8718   0.02685   0.02479   0.0053   0.0225   0.6401
   5.900   0.8631   0.02801   0.02600   0.0074   0.0224   0.6414
   6.000   0.8539   0.02924   0.02729   0.0092   0.0223   0.6421
   6.100   0.8449   0.03051   0.02860   0.0108   0.0223   0.6427
   6.200   0.8359   0.03184   0.02997   0.0122   0.0221   0.6433
   6.300   0.8267   0.03323   0.03141   0.0133   0.0221   0.6440
   6.400   0.8180   0.03468   0.03289   0.0141   0.0219   0.6445
   6.500   0.8092   0.03620   0.03445   0.0147   0.0218   0.6452
   6.600   0.8010   0.03778   0.03606   0.0150   0.0216   0.6457
   6.700   0.7924   0.03948   0.03780   0.0150   0.0215   0.6463
   6.800   0.7844   0.04123   0.03958   0.0147   0.0214   0.6468
   6.900   0.7764   0.04311   0.04149   0.0141   0.0213   0.6473
   7.000   0.7685   0.04512   0.04352   0.0131   0.0212   0.6478
   7.100   0.7616   0.04719   0.04561   0.0120   0.0211   0.6481
   7.200   0.7551   0.04939   0.04783   0.0105   0.0209   0.6486
   7.300   0.7492   0.05172   0.05018   0.0087   0.0208   0.6490
   7.400   0.7444   0.05416   0.05265   0.0066   0.0207   0.6493
   7.500   0.7406   0.05685   0.05535   0.0041   0.0205   0.6496
   7.600   0.7370   0.06000   0.05849   0.0009   0.0202   0.6499
   7.700   0.7308   0.06298   0.06147  -0.0019   0.0199   0.6501
   7.800   0.7269   0.06550   0.06399  -0.0039   0.0198   0.6507
   7.900   0.7232   0.06796   0.06645  -0.0059   0.0197   0.6513
   8.000   0.7195   0.07042   0.06890  -0.0078   0.0197   0.6518
   8.100   0.7164   0.07281   0.07130  -0.0097   0.0196   0.6523
   8.200   0.7133   0.07523   0.07372  -0.0115   0.0195   0.6528
   8.300   0.7111   0.07756   0.07604  -0.0133   0.0193   0.6533
   8.400   0.7091   0.07989   0.07837  -0.0150   0.0192   0.6537
   8.500   0.7078   0.08218   0.08066  -0.0167   0.0191   0.6541
   8.600   0.7062   0.08454   0.08302  -0.0185   0.0190   0.6546
   8.700   0.7047   0.08692   0.08540  -0.0202   0.0188   0.6550
   8.800   0.7040   0.08923   0.08771  -0.0219   0.0186   0.6554
   8.900   0.7036   0.09154   0.09002  -0.0236   0.0184   0.6559
   9.000   0.7032   0.09388   0.09237  -0.0252   0.0182   0.6563
   9.100   0.7034   0.09618   0.09466  -0.0269   0.0179   0.6567
   9.200   0.7038   0.09850   0.09698  -0.0285   0.0175   0.6571
   9.300   0.7038   0.10090   0.09937  -0.0301   0.0172   0.6575
   9.400   0.7042   0.10327   0.10175  -0.0318   0.0170   0.6578
   9.500   0.7051   0.10560   0.10408  -0.0333   0.0165   0.6582
   9.600   0.7062   0.10794   0.10641  -0.0349   0.0162   0.6585
   9.700   0.7073   0.11031   0.10878  -0.0365   0.0156   0.6589
   9.800   0.7083   0.11274   0.11121  -0.0381   0.0151   0.6592
   9.900   0.7097   0.11514   0.11361  -0.0396   0.0147   0.6594
  10.000   0.7111   0.11756   0.11603  -0.0412   0.0142   0.6597
